
2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
    810 |     4.6302 |    11.3203 |     0.0127 |     0.1808 |   9.1910
    820 |     2.5841 |     6.2824 |     0.0022 |     0.1341 |   9.1810
    830 |     4.2233 |     9.9320 |     0.0278 |     0.1745 |   9.1710
    840 |     4.4168 |    10.3731 |     0.0160 |     0.2593 |   9.1610
    850 |     5.1444 |    11.8856 |     0.0254 |     0.2371 |   9.1510
    860 |     3.8895 |     8.8966 |     0.0165 |     0.3151 |   9.1410
    870 |     5.2961 |    11.9963 |     0.0200 |     0.4029 |   9.1310
    880 |     3.0208 |     6.8320 |     0.0040 |     0.1329 |   9.1210
    890 |     5.1186 |    11.2741 |     0.0278 |     0.2277 |   9.1110
    900 |     5.9122 |    12.7795 |     0.0439 |     0.2954 |   9.1010
    910 |     5.5794 |    12.2075 |     0.0066 |     0.2614 |   9.0910
    920 |     5.7789 |    12.2446 |     0.0393 |     0.3508 |   9.0810
    930 |     5.8079 |    12.3784 |     0.0146 |     0.1927 |   9.0710
    940 |     5.7855 |    12.1845 |     0.0163 |     0.2056 |   9.0610
    950 |     5.6894 |    11.8517 |     0.0159 |     0.2855 |   9.0510
    960 |     5.2572 |    10.6553 |     0.0393 |     0.2002 |   9.0410
    970 |     6.7055 |    13.7096 |     0.0161 |     0.1764 |   9.0310
    980 |     5.7756 |    11.5426 |     0.0329 |     0.2370 |   9.0210
    990 |     7.1642 |    13.3995 |     0.1465 |     0.3398 |   9.0110
   1000 |     6.1941 |    11.9610 |     0.0597 |     0.1494 |   9.0010
   1010 |     4.7052 |     9.2385 |     0.0108 |     0.1871 |   8.9910
   1020 |     4.7164 |     9.1958 |     0.0072 |     0.1729 |   8.9810
   1030 |     6.2926 |    12.0656 |     0.0216 |     0.2395 |   8.9710
   1040 |     6.1363 |    11.0443 |     0.1094 |     0.2185 |   8.9610
   1050 |     5.6765 |    10.6643 |     0.0213 |     0.2213 |   8.9510
   1060 |     6.5763 |    12.3028 |     0.0156 |     0.1889 |   8.9410
   1070 |     5.8348 |    10.7788 |     0.0189 |     0.1892 |   8.9310
   1080 |     5.5624 |    10.0615 |     0.0353 |     0.2546 |   8.9210
   1090 |     7.3975 |    13.3503 |     0.0334 |     0.2794 |   8.9110
   1100 |     6.3659 |    11.5222 |     0.0074 |     0.2436 |   8.9010
   1110 |     7.0510 |    12.6492 |     0.0084 |     0.2153 |   8.8910
   1120 |     5.3225 |     9.3844 |     0.0185 |     0.1835 |   8.8810
   1130 |     5.8456 |    10.1026 |     0.0388 |     0.1502 |   8.8710
   1140 |     6.1696 |    10.4047 |     0.0678 |     0.1106 |   8.8610
   1150 |     8.2203 |    14.0017 |     0.0482 |     0.1640 |   8.8510
   1160 |     6.2009 |    10.4322 |     0.0427 |     0.1278 |   8.8410
   1170 |     6.0086 |    10.0803 |     0.0315 |     0.1535 |   8.8310
   1180 |     3.9061 |     6.5334 |     0.0142 |     0.1316 |   8.8210
   1190 |     7.4824 |    12.4091 |     0.0283 |     0.1494 |   8.8110
   1200 |     2.4886 |     4.0952 |     0.0085 |     0.0951 |   8.8010
   1210 |     6.7574 |    11.0199 |     0.0251 |     0.2055 |   8.7910
   1220 |     3.9466 |     6.3087 |     0.0277 |     0.1099 |   8.7810
   1230 |     6.5998 |    10.4991 |     0.0406 |     0.1506 |   8.7710
   1240 |     6.0832 |     9.7866 |     0.0037 |     0.2008 |   8.7610
   1250 |     6.7164 |    10.6399 |     0.0185 |     0.1864 |   8.7510
   1260 |     6.3457 |    10.0077 |     0.0110 |     0.1965 |   8.7410
   1270 |     7.7436 |    12.1209 |     0.0137 |     0.1295 |   8.7310
   1280 |     5.9332 |     9.1035 |     0.0299 |     0.1837 |   8.7210
   1290 |     6.0369 |     9.2513 |     0.0190 |     0.2176 |   8.7110
   1300 |     3.4217 |     5.1589 |     0.0194 |     0.0849 |   8.7010
   1310 |     4.1869 |     6.2110 |     0.0340 |     0.0868 |   8.6910
   1320 |     7.5399 |    11.1078 |     0.0597 |     0.1767 |   8.6810
   1330 |     6.7411 |    10.0749 |     0.0120 |     0.1207 |   8.6710
   1340 |     6.0009 |     8.8207 |     0.0259 |     0.1407 |   8.6610
   1350 |     7.6663 |    11.2558 |     0.0194 |     0.1749 |   8.6510
   1360 |     7.1092 |    10.3002 |     0.0303 |     0.1362 |   8.6410
   1370 |     8.5530 |    12.1688 |     0.0615 |     0.2746 |   8.6310
   1380 |     5.6231 |     7.7947 |     0.0709 |     0.1015 |   8.6210
   1390 |     8.2034 |    11.6053 |     0.0394 |     0.1879 |   8.6110
   1400 |     4.4917 |     6.3478 |     0.0137 |     0.1062 |   8.6010
   1410 |     2.3237 |     3.2521 |     0.0088 |     0.0512 |   8.5910
   1420 |     8.4015 |    11.5490 |     0.0586 |     0.1542 |   8.5810
   1430 |     6.0245 |     8.2528 |     0.0354 |     0.1497 |   8.5710
   1440 |     4.7772 |     6.5352 |     0.0209 |     0.0811 |   8.5610
   1450 |     6.6355 |     8.9415 |     0.0438 |     0.1730 |   8.5510
   1460 |     9.2572 |    12.5365 |     0.0309 |     0.1456 |   8.5410
   1470 |     8.6618 |    11.6642 |     0.0259 |     0.1354 |   8.5310
   1480 |     5.1132 |     6.8278 |     0.0174 |     0.1038 |   8.5210
   1490 |     3.1281 |     4.1500 |     0.0106 |     0.0527 |   8.5110
   1500 |     8.4423 |    11.1835 |     0.0150 |     0.2044 |   8.5010
   1510 |     7.9254 |    10.4283 |     0.0154 |     0.1048 |   8.4910
   1520 |     6.4700 |     8.4789 |     0.0071 |     0.1368 |   8.4810
   1530 |     8.5051 |    11.0242 |     0.0210 |     0.1289 |   8.4710
   1540 |     9.8779 |    12.7347 |     0.0206 |     0.1881 |   8.4610
   1550 |    11.6277 |    13.9614 |     0.2384 |     0.1855 |   8.4510
   1560 |     8.7693 |    11.1471 |     0.0218 |     0.1357 |   8.4410
   1570 |     6.0255 |     7.5230 |     0.0357 |     0.0731 |   8.4310
   1580 |     9.5615 |    11.9613 |     0.0333 |     0.1213 |   8.4210
   1590 |     8.6825 |    10.8250 |     0.0225 |     0.1301 |   8.4110
   1600 |     7.6409 |     9.3838 |     0.0395 |     0.1191 |   8.4010
   1610 |     8.3103 |    10.2639 |     0.0135 |     0.1581 |   8.3910
   1620 |     9.4421 |    11.4649 |     0.0465 |     0.1120 |   8.3810
   1630 |     5.9264 |     7.2377 |     0.0077 |     0.1111 |   8.3710
   1640 |     8.3773 |    10.1368 |     0.0181 |     0.1957 |   8.3610
   1650 |     5.0143 |     5.9903 |     0.0210 |     0.1023 |   8.3510
   1660 |     9.9376 |    11.6817 |     0.0725 |     0.1140 |   8.3410
   1670 |     8.8489 |    10.3620 |     0.0579 |     0.1798 |   8.3310
   1680 |     4.1960 |     4.8975 |     0.0244 |     0.0656 |   8.3210
   1690 |     5.1833 |     6.0927 |     0.0099 |     0.1014 |   8.3110
   1700 |     9.5072 |    11.1090 |     0.0188 |     0.1484 |   8.3010
   1710 |     9.1773 |    10.6343 |     0.0250 |     0.1448 |   8.2910
   1720 |    10.8503 |    12.4539 |     0.0413 |     0.1843 |   8.2810
   1730 |     5.5213 |     6.2718 |     0.0291 |     0.0615 |   8.2710
   1740 |     9.9576 |    11.3412 |     0.0264 |     0.1735 |   8.2610
   1750 |     9.0715 |    10.2267 |     0.0368 |     0.1301 |   8.2510
   1760 |     9.1619 |    10.3462 |     0.0170 |     0.1250 |   8.2410
   1770 |     6.9067 |     7.6546 |     0.0391 |     0.1398 |   8.2310
   1780 |     5.3145 |     5.9107 |     0.0162 |     0.0657 |   8.2210
   1790 |    11.1574 |    12.3708 |     0.0255 |     0.1507 |   8.2110
   1800 |     6.9763 |     7.6640 |     0.0235 |     0.1019 |   8.2010
   1810 |     7.6032 |     8.2313 |     0.0465 |     0.1010 |   8.1910
   1820 |    10.9067 |    11.9126 |     0.0195 |     0.1522 |   8.1810
   1830 |     8.4780 |     9.1942 |     0.0192 |     0.1319 |   8.1710
   1840 |    10.4904 |    11.2427 |     0.0450 |     0.1081 |   8.1610
   1850 |    12.0266 |    12.7797 |     0.0628 |     0.1291 |   8.1510
   1860 |    10.6700 |    11.2949 |     0.0500 |     0.1534 |   8.1410
   1870 |    10.7849 |    11.4537 |     0.0228 |     0.1301 |   8.1310
   1880 |    11.8086 |    12.3489 |     0.0606 |     0.1738 |   8.1210
   1890 |     7.0125 |     7.2015 |     0.0634 |     0.0893 |   8.1110
   1900 |    10.5237 |    10.9735 |     0.0292 |     0.1725 |   8.1010
   1910 |     8.8499 |     9.1185 |     0.0427 |     0.1396 |   8.0910
   1920 |    11.0950 |    11.4273 |     0.0362 |     0.2335 |   8.0810
   1930 |    10.3226 |    10.5052 |     0.0564 |     0.1400 |   8.0710
   1940 |    10.4558 |    10.7294 |     0.0148 |     0.1046 |   8.0610
   1950 |    12.5343 |    12.3901 |     0.1408 |     0.1174 |   8.0510
   1960 |    11.9096 |    11.9533 |     0.0600 |     0.1404 |   8.0410
   1970 |     4.3518 |     4.4009 |     0.0050 |     0.0524 |   8.0310
   1980 |     9.6215 |     9.4548 |     0.0794 |     0.1876 |   8.0210
   1990 |     7.2847 |     7.2232 |     0.0297 |     0.1026 |   8.0110
   2000 |     8.0996 |     8.0231 |     0.0230 |     0.1167 |   8.0010
   2010 |    10.7630 |    10.6505 |     0.0177 |     0.1321 |   7.9910
   2020 |    10.9449 |    10.7346 |     0.0321 |     0.0955 |   7.9810
   2030 |     5.6602 |     5.4728 |     0.0326 |     0.0667 |   7.9710
   2040 |     7.5790 |     7.2338 |     0.0624 |     0.0903 |   7.9610
   2050 |     6.3175 |     6.0330 |     0.0414 |     0.0804 |   7.9510
   2060 |     9.4421 |     9.0453 |     0.0397 |     0.0644 |   7.9410
   2070 |    11.9266 |    11.4508 |     0.0232 |     0.1140 |   7.9310
   2080 |    14.3821 |    13.4751 |     0.1146 |     0.1853 |   7.9210
   2090 |    11.5546 |    10.9538 |     0.0337 |     0.1045 |   7.9110
   2100 |    10.5770 |     9.9107 |     0.0534 |     0.1094 |   7.9010
   2110 |    11.7819 |    11.1181 |     0.0161 |     0.1094 |   7.8910
   2120 |    14.5634 |    13.4319 |     0.1029 |     0.1234 |   7.8810
   2130 |    11.3171 |    10.5331 |     0.0306 |     0.1294 |   7.8710
   2140 |    11.7446 |    10.8869 |     0.0298 |     0.1140 |   7.8610
   2150 |    11.0075 |     9.8643 |     0.1273 |     0.1320 |   7.8510
   2160 |    13.9142 |    12.5677 |     0.1062 |     0.2205 |   7.8410
   2170 |     5.8422 |     5.3031 |     0.0277 |     0.0641 |   7.8310
   2180 |    11.3747 |    10.2339 |     0.0700 |     0.0919 |   7.8210
   2190 |    11.3683 |    10.2273 |     0.0536 |     0.1092 |   7.8110
   2200 |     5.9422 |     5.2657 |     0.0473 |     0.0732 |   7.8010
   2210 |    11.2510 |    10.0052 |     0.0612 |     0.1415 |   7.7910
   2220 |    13.0810 |    11.3494 |     0.1534 |     0.1716 |   7.7810
   2230 |    10.7842 |     9.5984 |     0.0260 |     0.0901 |   7.7710
   2240 |    11.8627 |    10.4085 |     0.0657 |     0.0933 |   7.7610
   2250 |    13.1856 |    11.5142 |     0.0749 |     0.0845 |   7.7510
   2260 |    14.5656 |    12.5332 |     0.1297 |     0.1133 |   7.7410
   2270 |    16.6288 |    14.5100 |     0.0517 |     0.1064 |   7.7310
   2280 |    13.3762 |    11.4768 |     0.0939 |     0.1236 |   7.7210
   2290 |     9.0251 |     7.7972 |     0.0308 |     0.0880 |   7.7110
   2300 |    12.8291 |    10.8219 |     0.1238 |     0.1152 |   7.7010
   2310 |    13.0873 |    11.1660 |     0.0602 |     0.1561 |   7.6910
   2320 |    13.2346 |    11.2029 |     0.0762 |     0.1527 |   7.6810
   2330 |    14.0467 |    11.8077 |     0.0954 |     0.0580 |   7.6710
   2340 |    13.9129 |    11.7869 |     0.0382 |     0.1561 |   7.6610
   2350 |    10.3473 |     8.6442 |     0.0603 |     0.1420 |   7.6510
   2360 |    14.9778 |    12.3268 |     0.1403 |     0.1335 |   7.6410
   2370 |    14.8496 |    12.4342 |     0.0371 |     0.1138 |   7.6310
   2380 |    12.7010 |    10.5652 |     0.0417 |     0.0901 |   7.6210
   2390 |     8.1818 |     6.7941 |     0.0197 |     0.0863 |   7.6110
   2400 |    15.0558 |    12.3792 |     0.0659 |     0.0910 |   7.6010
   2410 |    13.6158 |    11.2578 |     0.0165 |     0.0764 |   7.5910
   2420 |    14.4845 |    11.9036 |     0.0249 |     0.1603 |   7.5810
   2430 |    12.5777 |    10.1737 |     0.0706 |     0.1077 |   7.5710
   2440 |    14.6886 |    11.8836 |     0.0627 |     0.0946 |   7.5610
   2450 |     4.2887 |     3.4762 |     0.0097 |     0.0386 |   7.5510
   2460 |    14.5500 |    11.6976 |     0.0533 |     0.0931 |   7.5410
   2470 |     6.2233 |     4.9471 |     0.0374 |     0.0454 |   7.5310
   2480 |    12.4243 |     9.9050 |     0.0453 |     0.1463 |   7.5210
   2490 |     9.8066 |     7.6393 |     0.0979 |     0.0723 |   7.5110
   2500 |     7.5539 |     5.8352 |     0.0863 |     0.0512 |   7.5010
   2510 |     5.0454 |     3.9450 |     0.0311 |     0.0425 |   7.4910
   2520 |    15.4919 |    11.8783 |     0.1759 |     0.0641 |   7.4810
   2530 |    14.5594 |    11.2291 |     0.1172 |     0.1334 |   7.4710
   2540 |    14.1725 |    10.9606 |     0.0832 |     0.1248 |   7.4610
   2550 |     8.6394 |     6.6150 |     0.0683 |     0.0665 |   7.4510
   2560 |     9.1510 |     6.9146 |     0.1000 |     0.0780 |   7.4410
   2570 |    15.1975 |    11.6637 |     0.0701 |     0.0910 |   7.4310
   2580 |    12.8064 |     9.6080 |     0.1377 |     0.1035 |   7.4210
   2590 |    13.5621 |    10.1251 |     0.1509 |     0.0986 |   7.4110
   2600 |    15.8692 |    11.7996 |     0.1783 |     0.1023 |   7.4010
   2610 |    12.0261 |     9.0676 |     0.0633 |     0.1326 |   7.3910
   2620 |     8.1581 |     6.1060 |     0.0533 |     0.0640 |   7.3810
   2630 |    16.7792 |    12.2849 |     0.2113 |     0.0985 |   7.3710
   2640 |    14.2358 |    10.4806 |     0.1351 |     0.1107 |   7.3610
   2650 |    12.4105 |     9.2519 |     0.0495 |     0.1351 |   7.3510
   2660 |    15.1219 |    11.2125 |     0.0717 |     0.0557 |   7.3410
   2670 |    16.0299 |    11.8573 |     0.0682 |     0.0808 |   7.3310
   2680 |    15.0358 |    11.0178 |     0.0928 |     0.0716 |   7.3210
....
   3450 |    11.4410 |     6.2183 |     0.2717 |     0.0538 |   6.5510
   3460 |    21.1666 |    11.5276 |     0.4670 |     0.0736 |   6.5410
   3470 |    19.2352 |    10.6095 |     0.3151 |     0.0938 |   6.5310
   3480 |    19.1089 |    10.6329 |     0.2318 |     0.0801 |   6.5210
   3490 |    13.8499 |     7.1853 |     0.5014 |     0.0878 |   6.5110
   3500 |    18.8369 |     9.4260 |     0.8971 |     0.1264 |   6.5010
   3510 |    21.9142 |    10.2888 |     1.4820 |     0.1383 |   6.4910
   3520 |    19.9296 |    10.2347 |     0.7377 |     0.0890 |   6.4810
   3530 |    13.4832 |     7.2616 |     0.2564 |     0.0615 |   6.4710
   3540 |    12.9843 |     6.8885 |     0.3047 |     0.0721 |   6.4610
   3550 |    26.0005 |    13.4997 |     0.7885 |     0.1009 |   6.4510
   3560 |    17.7885 |     8.7094 |     0.8833 |     0.1356 |   6.4410
   3570 |    19.0030 |     8.3487 |     1.5880 |     0.1853 |   6.4310
   3580 |    18.4686 |     9.5862 |     0.5081 |     0.0838 |   6.4210
   3590 |    21.2121 |     0.9427 |     7.6065 |     0.1337 |   6.4110
   3600 |    14.3036 |     0.5905 |     5.1688 |     0.0627 |   6.4010
   3610 |    16.4369 |     2.5618 |     4.6153 |     0.1440 |   6.3910
   3620 |    15.4483 |     5.0929 |     2.4393 |     0.0599 |   6.3810
   3630 |    19.1565 |     5.2787 |     3.7531 |     0.1271 |   6.3710
   3640 |    19.0086 |     5.0798 |     3.8333 |     0.1136 |   6.3610
   3650 |    16.5679 |     6.4990 |     1.8492 |     0.1177 |   6.3510
   3660 |    17.9334 |     4.2919 |     3.9692 |     0.1272 |   6.3410
   3670 |    19.9147 |     8.8747 |     1.4300 |     0.1165 |   6.3310
   3680 |    11.6396 |     3.9116 |     1.7552 |     0.0577 |   6.3210
   3690 |    14.8205 |     4.0052 |     2.9417 |     0.0617 |   6.3110
   3700 |    18.2668 |     4.2595 |     4.1183 |     0.0816 |   6.3010
   3710 |    26.1602 |     4.3586 |     7.1770 |     0.1534 |   6.2910
   3720 |    21.0835 |     3.2541 |     5.9800 |     0.0748 |   6.2810
   3730 |    20.1580 |     0.6837 |     7.5254 |     0.0593 |   6.2710
   3740 |    20.3845 |     0.8810 |     7.4796 |     0.0481 |   6.2610
   3750 |    11.3350 |     0.5611 |     4.1100 |     0.0596 |   6.2510
   3760 |    21.9688 |     2.9920 |     6.5438 |     0.0834 |   6.2410
   3770 |    11.3011 |     1.2663 |     3.5753 |     0.0331 |   6.2310
   3780 |    13.3137 |     3.7301 |     2.5163 |     0.0358 |   6.2210
   3790 |    19.4798 |     4.0317 |     4.7645 |     0.0434 |   6.2110
   3800 |     9.3345 |     1.3119 |     2.7571 |     0.0324 |   6.2010
   3810 |    14.1350 |     1.6828 |     4.4107 |     0.0642 |   6.1910
   3820 |    27.7627 |     0.9253 |    10.5111 |     0.0700 |   6.1810
   3830 |    16.1344 |     0.3656 |     6.2508 |     0.0431 |   6.1710
   3840 |    16.8214 |     0.6110 |     6.3481 |     0.0371 |   6.1610
   3850 |    14.4316 |     0.7795 |     5.2529 |     0.0624 |   6.1510
   3860 |    19.6575 |     1.2353 |     7.0293 |     0.0619 |   6.1410
   3870 |    13.7277 |     0.3236 |     5.3406 |     0.0383 |   6.1310
   3880 |    10.1801 |     0.2868 |     3.9285 |     0.0449 |   6.1210
   3890 |    18.1043 |     2.0612 |     5.7648 |     0.0423 |   6.1110
   3900 |    18.7831 |     0.6228 |     7.1971 |     0.0430 |   6.1010
   3910 |    13.9263 |     0.3182 |     5.4590 |     0.0356 |   6.0910
   3920 |    12.8457 |     0.7710 |     4.6584 |     0.0339 |   6.0810
   3930 |    22.3794 |     0.4197 |     8.8745 |     0.0335 |   6.0710
   3940 |    11.2634 |     0.2644 |     4.4300 |     0.0214 |   6.0610
   3950 |    20.0404 |     0.4316 |     7.9262 |     0.0318 |   6.0510
   3960 |    14.5664 |     0.4115 |     5.6895 |     0.0312 |   6.0410
   3970 |    26.4917 |     1.0043 |    10.1528 |     0.0513 |   6.0310
   3980 |    13.5469 |     0.3111 |     5.3665 |     0.0283 |   6.0210
   3990 |    16.3080 |     0.3561 |     6.4856 |     0.0316 |   6.0110
   4000 |    10.1840 |     0.1903 |     4.0832 |     0.0194 |   6.0010
   4010 |    16.4497 |     1.3018 |     5.7725 |     0.0578 |   5.9910
   4020 |    13.5478 |     0.2606 |     5.4423 |     0.0325 |   5.9810
   4030 |    12.3688 |     0.4944 |     4.7602 |     0.0290 |   5.9710
   4040 |    10.9153 |     0.2692 |     4.3479 |     0.0358 |   5.9610
   4050 |    18.3912 |     0.2831 |     7.4837 |     0.0309 |   5.9510
   4060 |    12.3016 |     0.1727 |     5.0277 |     0.0267 |   5.9410
   4070 |    17.2769 |     0.3538 |     6.9776 |     0.0279 |   5.9310
   4080 |    20.8736 |     0.4051 |     8.4630 |     0.0304 |   5.9210
   4090 |    16.4283 |     0.2812 |     6.7037 |     0.0248 |   5.9110
   4100 |    12.9281 |     0.2279 |     5.2779 |     0.0253 |   5.9010
   4110 |     9.0310 |     0.2292 |     3.6316 |     0.0220 |   5.8910
   4120 |    12.3097 |     0.1770 |     5.0770 |     0.0168 |   5.8810
   4130 |    11.3276 |     0.1445 |     4.6947 |     0.0328 |   5.8710
   4140 |    20.3349 |     0.2953 |     8.4120 |     0.0214 |   5.8610
   4150 |    16.3906 |     0.2161 |     6.8107 |     0.0201 |   5.8510
   4160 |    18.0088 |     0.2507 |     7.4833 |     0.0268 |   5.8410
   4170 |    13.6687 |     0.1250 |     5.7477 |     0.0180 |   5.8310
   4180 |    20.5722 |     0.3553 |     8.5152 |     0.0243 |   5.8210
