                                                                                                                                                                                                                                                                                                                                                                               1,1           Top
                                                                                                                                                                                                                                                                                                                                                                               ------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
    820 |     4.2334 |     6.1387 |     0.0114 |     0.1110 |   8.6350
    830 |     6.9768 |     9.8815 |     0.0418 |     0.1468 |   8.6183
    840 |     7.3003 |    10.2441 |     0.0371 |     0.2435 |   8.6017
    850 |     8.4540 |    11.8091 |     0.0264 |     0.2026 |   8.5850
    860 |     6.4389 |     8.8093 |     0.0354 |     0.2673 |   8.5683
    870 |     8.8080 |    11.8126 |     0.0700 |     0.3258 |   8.5517
    880 |     4.9535 |     6.6915 |     0.0138 |     0.1078 |   8.5350
    890 |     8.4469 |    11.1871 |     0.0441 |     0.1964 |   8.5183
    900 |     9.5878 |    12.6680 |     0.0254 |     0.2412 |   8.5017
    910 |     9.2263 |    12.0280 |     0.0309 |     0.2276 |   8.4850
    920 |     9.5095 |    12.1755 |     0.0508 |     0.2825 |   8.4683
    930 |     9.5782 |    12.2372 |     0.0287 |     0.1610 |   8.4517
    940 |     9.6203 |    11.8258 |     0.1062 |     0.1754 |   8.4350
    950 |     9.3869 |    11.7266 |     0.0302 |     0.2423 |   8.4183
    960 |     8.5861 |    10.6755 |     0.0137 |     0.1789 |   8.4017
    970 |    11.1359 |    13.3150 |     0.1124 |     0.1427 |   8.3850
    980 |     9.5079 |    11.5720 |     0.0171 |     0.2028 |   8.3683
    990 |    11.3039 |    13.3727 |     0.0811 |     0.2329 |   8.3517
   1000 |    10.1043 |    11.8471 |     0.0709 |     0.1071 |   8.3350
   1010 |     7.6911 |     9.1024 |     0.0089 |     0.1531 |   8.3183
   1020 |     7.7952 |     8.9626 |     0.0534 |     0.1385 |   8.3017
   1030 |    10.4053 |    11.9983 |     0.0320 |     0.2054 |   8.2850
   1040 |     9.9302 |    10.9058 |     0.1445 |     0.1867 |   8.2683
   1050 |     9.3786 |    10.5471 |     0.0450 |     0.1946 |   8.2517
   1060 |    10.8895 |    12.2000 |     0.0346 |     0.1710 |   8.2350
   1070 |     9.6273 |    10.6370 |     0.0435 |     0.1607 |   8.2183
   1080 |     9.1217 |     9.9592 |     0.0471 |     0.2233 |   8.2017
   1090 |    12.1710 |    13.1745 |     0.0623 |     0.2036 |   8.1850
   1100 |    10.5167 |    11.3079 |     0.0457 |     0.2024 |   8.1683
   1110 |    11.6637 |    12.5249 |     0.0240 |     0.1880 |   8.1517
   1120 |     8.7506 |     9.2849 |     0.0257 |     0.1569 |   8.1350
   1130 |     9.6600 |     9.9694 |     0.0840 |     0.1338 |   8.1183
   1140 |     9.9173 |    10.3296 |     0.0333 |     0.0869 |   8.1017
   1150 |    13.5541 |    13.8387 |     0.0914 |     0.1380 |   8.0850
   1160 |    10.1768 |    10.4667 |     0.0190 |     0.1075 |   8.0683
   1170 |     9.8648 |     9.9688 |     0.0453 |     0.1308 |   8.0517
   1180 |     6.4629 |     6.4055 |     0.0506 |     0.1138 |   8.0350
   1190 |    12.4202 |    12.1116 |     0.1283 |     0.1380 |   8.0183
   1200 |     4.0481 |     3.9696 |     0.0241 |     0.0800 |   8.0017
   1210 |    11.1721 |    10.9588 |     0.0376 |     0.1792 |   7.9850
   1220 |     6.4653 |     6.1859 |     0.0552 |     0.0887 |   7.9683
   1230 |    10.9037 |    10.2363 |     0.1296 |     0.1288 |   7.9517
   1240 |    10.0431 |     9.5547 |     0.0527 |     0.1732 |   7.9350
   1250 |    11.0504 |    10.4838 |     0.0408 |     0.1481 |   7.9183
   1260 |    10.4875 |     9.8016 |     0.0614 |     0.1586 |   7.9017
   1270 |    12.8447 |    11.8232 |     0.1062 |     0.1061 |   7.8850
   1280 |     9.6355 |     8.8750 |     0.0531 |     0.1446 |   7.8683
   1290 |     9.9731 |     9.1452 |     0.0439 |     0.1811 |   7.8517
   1300 |     5.5878 |     5.0390 |     0.0410 |     0.0729 |   7.8350
   1310 |     6.8752 |     6.1198 |     0.0621 |     0.0803 |   7.8183
   1320 |    12.3620 |    10.9988 |     0.0843 |     0.1450 |   7.8017
   1330 |    11.2845 |     9.8213 |     0.1285 |     0.1122 |   7.7850
   1340 |     9.8377 |     8.7008 |     0.0388 |     0.1245 |   7.7683
   1350 |    12.6971 |    11.1960 |     0.0319 |     0.1789 |   7.7517
   1360 |    11.6732 |    10.1986 |     0.0370 |     0.1310 |   7.7350
   1370 |    14.0771 |    12.0846 |     0.0882 |     0.2668 |   7.7183
   1380 |     9.0376 |     7.7440 |     0.0429 |     0.0937 |   7.7017
   1390 |    13.5762 |    11.4466 |     0.1023 |     0.1748 |   7.6850
   1400 |     7.4077 |     6.2393 |     0.0413 |     0.1004 |   7.6683
   1410 |     3.7969 |     3.1833 |     0.0183 |     0.0453 |   7.6517
   1420 |    13.7531 |    11.3587 |     0.1019 |     0.1451 |   7.6350
   1430 |     9.9106 |     8.1563 |     0.0617 |     0.1373 |   7.6183
   1440 |     7.8542 |     6.4942 |     0.0202 |     0.0719 |   7.6017
   1450 |    10.8397 |     8.7658 |     0.0805 |     0.1474 |   7.5850
   1460 |    15.3450 |    12.4392 |     0.0697 |     0.1374 |   7.5683
   1470 |    14.3843 |    11.4374 |     0.1239 |     0.1191 |   7.5517
   1480 |     8.4283 |     6.7502 |     0.0339 |     0.0865 |   7.5350
   1490 |     5.1140 |     4.0294 |     0.0369 |     0.0447 |   7.5183
   1500 |    13.9733 |    11.0962 |     0.0331 |     0.1738 |   7.5017
   1510 |    13.0797 |    10.3166 |     0.0336 |     0.0811 |   7.4850
   1520 |    10.6258 |     8.2883 |     0.0424 |     0.0995 |   7.4683
   1530 |    13.9999 |    10.8070 |     0.0746 |     0.0996 |   7.4517
   1540 |    16.4057 |    12.4308 |     0.1517 |     0.1561 |   7.4350
   1550 |    18.5364 |    13.9698 |     0.1662 |     0.1369 |   7.4183
   1560 |    14.5302 |    10.8939 |     0.1242 |     0.1205 |   7.4017
   1570 |     9.9404 |     7.3394 |     0.1148 |     0.0631 |   7.3850
   1580 |    15.7901 |    11.7447 |     0.1111 |     0.1070 |   7.3683
   1590 |    14.3411 |    10.7007 |     0.0553 |     0.1135 |   7.3517
   1600 |    12.5313 |     9.3098 |     0.0403 |     0.0978 |   7.3350
   1610 |    13.6849 |    10.1304 |     0.0309 |     0.1386 |   7.3183
   1620 |    15.6168 |    11.2462 |     0.1491 |     0.1028 |   7.3017
   1630 |     9.7169 |     7.0775 |     0.0346 |     0.1023 |   7.2850
   1640 |    13.8104 |     9.9085 |     0.0906 |     0.1679 |   7.2683
   1650 |     8.2756 |     5.8959 |     0.0574 |     0.0880 |   7.2517
   1660 |    16.3212 |    11.4854 |     0.1501 |     0.1002 |   7.2350
   1670 |    14.5417 |    10.2494 |     0.0949 |     0.1502 |   7.2183
   1680 |     6.5039 |     4.5686 |     0.0370 |     0.0591 |   7.2017
   1690 |     8.5203 |     5.9681 |     0.0392 |     0.0874 |   7.1850
   1700 |    15.7248 |    10.9665 |     0.0652 |     0.1314 |   7.1683
   1710 |    15.1329 |    10.3721 |     0.1226 |     0.1256 |   7.1517
   1720 |    17.8270 |    12.2236 |     0.1064 |     0.1525 |   7.1350
   1730 |     9.1627 |     6.0856 |     0.1370 |     0.0491 |   7.1183
   1740 |    16.4100 |    11.0356 |     0.1423 |     0.1538 |   7.1017
   1750 |    14.9742 |    10.1176 |     0.0765 |     0.1265 |   7.0850
   1760 |    15.2227 |    10.0557 |     0.1672 |     0.1126 |   7.0683
   1770 |    11.3306 |     7.5229 |     0.0820 |     0.1042 |   7.0517
   1780 |     8.7881 |     5.7313 |     0.1016 |     0.0613 |   7.0350
   1790 |    18.4472 |    12.0475 |     0.1688 |     0.1383 |   7.0183
   1800 |    11.4965 |     7.3162 |     0.1858 |     0.0903 |   7.0017
   1810 |    12.4587 |     8.0649 |     0.1045 |     0.0982 |   6.9850
   1820 |    17.9765 |    11.6819 |     0.0921 |     0.1333 |   6.9683
   1830 |    13.9649 |     8.9966 |     0.0869 |     0.1201 |   6.9517
   1840 |    17.3714 |    11.0000 |     0.1820 |     0.0971 |   6.9350
   1850 |    19.7706 |    12.5621 |     0.1455 |     0.1267 |   6.9183
   1860 |    17.6382 |    11.2737 |     0.0579 |     0.1450 |   6.9017
   1870 |    17.8629 |    11.3115 |     0.0844 |     0.1361 |   6.8850
   1880 |    19.4881 |    11.6425 |     0.4525 |     0.1574 |   6.8683
   1890 |    11.5044 |     7.1125 |     0.1093 |     0.0909 |   6.8517
   1900 |    17.3495 |    10.6458 |     0.1782 |     0.1596 |   6.8350
   1910 |    14.5613 |     8.9806 |     0.0963 |     0.1258 |   6.8183
   1920 |    18.3311 |    11.2382 |     0.1246 |     0.2115 |   6.8017
   1930 |    16.9219 |    10.3010 |     0.1295 |     0.1213 |   6.7850
   1940 |    17.6902 |    10.1075 |     0.4979 |     0.1058 |   6.7683
   1950 |    20.4765 |    12.3198 |     0.1688 |     0.1140 |   6.7517
   1960 |    19.7608 |    11.5221 |     0.3469 |     0.1683 |   6.7350
   1970 |     7.2096 |     4.2535 |     0.0838 |     0.0515 |   6.7183
   1980 |    15.8331 |     9.0023 |     0.3619 |     0.1675 |   6.7017
   1990 |    12.0231 |     6.9410 |     0.1906 |     0.0876 |   6.6850
   2000 |    11.9087 |     6.9658 |     0.1105 |     0.1024 |   6.6683
   2010 |    17.6728 |    10.2522 |     0.1868 |     0.1181 |   6.6517
   2020 |    17.9623 |    10.0653 |     0.3840 |     0.0834 |   6.6350
   2030 |     9.4482 |     5.2461 |     0.2161 |     0.0587 |   6.6183
   2040 |    12.6138 |     6.9078 |     0.3284 |     0.0873 |   6.6017
   2050 |    12.3160 |     3.7016 |     2.2713 |     0.1261 |   6.5850
   2060 |    15.9202 |     8.3407 |     0.6095 |     0.0740 |   6.5683
   2070 |    19.7846 |    11.1208 |     0.2283 |     0.1192 |   6.5517
   2080 |    23.6556 |    12.4074 |     0.8189 |     0.1857 |   6.5350
   2090 |    19.0977 |    10.7307 |     0.1552 |     0.1206 |   6.5183
   2100 |    17.1688 |     9.3042 |     0.3394 |     0.1100 |   6.5017
   2110 |    19.1831 |    10.4640 |     0.3012 |     0.1076 |   6.4850
   2120 |    26.3856 |     9.7848 |     3.5129 |     0.1725 |   6.4683
   2130 |    15.4239 |     4.2543 |     3.0449 |     0.1716 |   6.4517
   2140 |    21.1092 |     7.5414 |     2.9711 |     0.1775 |   6.4350
   2150 |    18.2241 |     9.4247 |     0.5172 |     0.1680 |   6.4183
   2160 |    22.9146 |    12.0516 |     0.4746 |     0.1529 |   6.4017
   2170 |     9.7621 |     4.2755 |     0.7933 |     0.0738 |   6.3850
   2180 |    18.2632 |     5.0118 |     3.5907 |     0.1448 |   6.3683
   2190 |    16.6539 |     2.0330 |     5.0898 |     0.1266 |   6.3517
   2200 |    11.4039 |     1.0038 |     3.7719 |     0.0595 |   6.3350
   2210 |    15.9932 |     0.5596 |     5.9172 |     0.0740 |   6.3183
   2220 |    22.2675 |     4.9151 |     5.2182 |     0.2292 |   6.3017
   2230 |    10.5980 |     1.8906 |     2.8151 |     0.0807 |   6.2850
   2240 |    20.8257 |     1.5081 |     7.1665 |     0.3843 |   6.2683
   2250 |    20.6304 |     1.8622 |     6.8510 |     0.0723 |   6.2517
   2260 |    20.0663 |     1.3079 |     7.0560 |     0.0576 |   6.2350
   2270 |    22.4156 |     0.7649 |     8.4287 |     0.0394 |   6.2183
   2280 |    16.7650 |     0.6023 |     6.2948 |     0.0514 |   6.2017
   2290 |     9.1911 |     0.3591 |     3.4351 |     0.0666 |   6.1850
   2300 |    17.9903 |     0.5951 |     6.8272 |     0.0448 |   6.1683
   2310 |    14.0929 |     0.4249 |     5.3931 |     0.0424 |   6.1517
   2320 |    20.3330 |     0.6321 |     7.7850 |     0.0608 |   6.1350
   2330 |    25.3162 |     0.4148 |    10.0140 |     0.0317 |   6.1183
   2340 |    10.1120 |     0.3632 |     3.8514 |     0.0345 |   6.1017
   2350 |    14.2775 |     0.3313 |     5.5971 |     0.0468 |   6.0850
   2360 |    25.9749 |     1.0907 |     9.8148 |     0.0592 |   6.0683
   2370 |    17.3351 |     0.5780 |     6.6883 |     0.0330 |   6.0517
   2380 |    20.2062 |     0.3015 |     8.1210 |     0.0376 |   6.0350
   2390 |    13.5432 |     0.2257 |     5.4377 |     0.0290 |   6.0183
   2400 |    22.5304 |     0.4342 |     9.0221 |     0.0293 |   6.0017
   2410 |    11.3152 |     0.2948 |     4.4778 |     0.0291 |   5.9850
   2420 |    20.0813 |     0.3046 |     8.1532 |     0.0246 |   5.9683
   2430 |    15.1747 |     0.2571 |     6.1536 |     0.0382 |   5.9517
   2440 |    18.8276 |     0.9771 |     7.0925 |     0.0328 |   5.9350
   2450 |     7.9414 |     0.3049 |     3.0909 |     0.0178 |   5.9183
   2460 |    16.2517 |     0.4088 |     6.5282 |     0.0259 |   5.9017
   2470 |     9.8006 |     0.2716 |     3.9248 |     0.0216 |   5.8850
   2480 |    15.8685 |     0.2820 |     6.5095 |     0.0477 |   5.8683
