
3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
    830 |    20.3904 |     0.5935 |     8.1757 |     0.1040 |   5.8550
    840 |    12.3763 |     0.2889 |     5.0606 |     0.1554 |   5.8050
    850 |    20.1942 |     0.4258 |     8.3733 |     0.1191 |   5.7550
    860 |    14.4984 |     0.2305 |     6.1297 |     0.1190 |   5.7050
    870 |    24.4582 |     0.4289 |    10.3927 |     0.1406 |   5.6550
    880 |    10.7931 |     0.0676 |     4.7440 |     0.0652 |   5.6050
    890 |    17.4298 |     0.3031 |     7.5349 |     0.1022 |   5.5550
    900 |    23.5636 |     0.4002 |    10.2861 |     0.1068 |   5.5050
    910 |    14.1134 |     0.2070 |     6.2466 |     0.0949 |   5.4550
    920 |    14.3205 |     0.1915 |     6.4138 |     0.0996 |   5.4050
    930 |    10.4590 |     0.2805 |     4.5740 |     0.0720 |   5.3550
    940 |    17.1653 |     0.1298 |     7.9410 |     0.0703 |   5.3050
    950 |    16.3520 |     0.1361 |     7.6210 |     0.0686 |   5.2550
    960 |    12.2446 |     0.0782 |     5.7869 |     0.0618 |   5.2050
    970 |    24.9561 |     0.0763 |    12.0102 |     0.0440 |   5.1550
    980 |    12.0545 |     0.0641 |     5.8210 |     0.0756 |   5.1050
    990 |    20.3131 |     0.1149 |     9.9006 |     0.0670 |   5.0550
   1000 |    19.9692 |     0.0437 |     9.9169 |     0.0437 |   5.0050

  First loss: 79.0181
  Last loss:  19.9692
  Min loss:   2.6658
  Max loss:   79.0181
  Triplet_H collapse: none (good)

4. EVALUATION METRICS
------------------------------------------------------------

