------------------------------------------------------------
  Preset:           ?                     Total Steps:      1000
  Alpha:            ?                     Batch / Accum:    4 / 2
  Gamma KL:         ?                     Learning Rate:    5e-5
  Layers:           ?                     Loss Mode:        per_token_cb
  Policy:           cb_full_sequence      Loss Weighting:   ?
  Pooling Mode:     ?                     Pooling Policy:   (none)
  Distance:         dl2rc                 Pooling Mask:     ?
  Margins:          3.0 / 20.0            LoRA r/alpha:     16 / 32

2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
    750 |    11.0392 |     1.5780 |     7.6345 |     0.0983 |   3.1275
    760 |    10.5358 |     2.2514 |     6.7556 |     0.1408 |   3.1025
    770 |     6.5797 |     0.6319 |     4.8433 |     0.0884 |   3.0775
    780 |     4.9195 |     1.4270 |     2.8848 |     0.0650 |   3.0525
    790 |     9.2919 |     0.8186 |     7.0007 |     0.0562 |   3.0275
    800 |     7.8565 |     0.6017 |     6.0367 |     0.0465 |   3.0025
    810 |     8.5408 |     0.5624 |     6.6884 |     0.0510 |   2.9775
    820 |     5.2805 |     0.4198 |     4.1036 |     0.0352 |   2.9525
    830 |     9.6649 |     0.8009 |     7.5408 |     0.0380 |   2.9275
    840 |     6.2562 |     0.3934 |     5.0262 |     0.0645 |   2.9025
    850 |    10.4856 |     0.8555 |     8.3162 |     0.0443 |   2.8775
    860 |     7.2937 |     0.2814 |     6.1211 |     0.0564 |   2.8525
    870 |    12.2245 |     0.4293 |    10.3899 |     0.0549 |   2.8275
    880 |     5.4390 |     0.1613 |     4.6913 |     0.0206 |   2.8025
    890 |     8.7461 |     0.4425 |     7.4250 |     0.0387 |   2.7775
    900 |    11.8175 |     0.6879 |    10.0263 |     0.0406 |   2.7525
    910 |     7.0831 |     0.2410 |     6.2367 |     0.0367 |   2.7275
    920 |     7.2040 |     0.2670 |     6.3753 |     0.0398 |   2.7025
    930 |     5.3236 |     0.3931 |     4.5410 |     0.0266 |   2.6775
    940 |     8.6620 |     0.3326 |     7.7925 |     0.0269 |   2.6525
    950 |     8.2359 |     0.2812 |     7.5151 |     0.0275 |   2.6275
    960 |     6.1733 |     0.1763 |     5.7237 |     0.0253 |   2.6025
    970 |    12.5298 |     0.2777 |    11.8244 |     0.0164 |   2.5775
    980 |     6.0947 |     0.1385 |     5.7987 |     0.0326 |   2.5525
    990 |    10.1990 |     0.1983 |     9.8420 |     0.0244 |   2.5275
   1000 |    10.0308 |     0.1044 |     9.8883 |     0.0156 |   2.5025

  First loss: 39.2589
  Last loss:  10.0308
  Min loss:   1.1536
  Max loss:   39.2589
  Triplet_H collapse: none (good)

4. EVALUATION METRICS
------------------------------------------------------------

  --- Eval mode: next_tool_prediction ---
  FUJITSU:
    Baseline ASR:     83.7%
