2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
    810 |    16.9764 |     0.2446 |     6.9125 |     0.1324 |   5.9550
    820 |    10.4134 |     0.3203 |     4.1253 |     0.1107 |   5.9050
    830 |    20.5284 |     0.2618 |     8.5286 |     0.0949 |   5.8550
    840 |    12.3928 |     0.3083 |     5.0505 |     0.1486 |   5.8050
    850 |    20.1206 |     0.3356 |     8.4251 |     0.1070 |   5.7550
    860 |    14.5334 |     0.1658 |     6.2060 |     0.1171 |   5.7050
    870 |    24.4294 |     0.4171 |    10.3908 |     0.1476 |   5.6550
    880 |    10.7488 |     0.0831 |     4.7087 |     0.0689 |   5.6050
    890 |    17.3145 |     0.1967 |     7.5897 |     0.0989 |   5.5550
    900 |    23.5451 |     0.3564 |    10.3220 |     0.1125 |   5.5050
    910 |    14.0630 |     0.1370 |     6.2963 |     0.0972 |   5.4550
    920 |    14.2952 |     0.1475 |     6.4484 |     0.1085 |   5.4050
    930 |    10.3695 |     0.2137 |     4.6048 |     0.0695 |   5.3550
    940 |    17.1597 |     0.1246 |     7.9440 |     0.0712 |   5.3050
    950 |    16.4106 |     0.1767 |     7.6025 |     0.0767 |   5.2550
    960 |    12.2393 |     0.0767 |     5.7858 |     0.0661 |   5.2050
    970 |    24.8452 |     0.1222 |    11.9022 |     0.0471 |   5.1550
    980 |    12.0642 |     0.0823 |     5.8037 |     0.0780 |   5.1050
    990 |    20.2798 |     0.1308 |     9.8644 |     0.0715 |   5.0550
   1000 |    19.8979 |     0.1017 |     9.8088 |     0.0438 |   5.0050

  First loss: 78.9240
  Last loss:  19.8979
  Min loss:   2.2064
  Max loss:   78.9240
  Triplet_H collapse: none (good)

4. EVALUATION METRICS
